, Emotion, Text, Clean_text
1357,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang baik dalam mengurus proses pendaftaran mata kuliah., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang baik dalam mengurus proses pendaftaran mata kuliah.
1358,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif dalam memproses pengurusan surat keterangan aktif kuliah., Saya merasa kesal karena tata usaha kampus tidak responsif dalam memproses pengurusan surat keterangan aktif kuliah.
1359,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang prosedur penggantian buku perpustakaan yang hilang., Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang prosedur penggantian buku perpustakaan yang hilang.
1360,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan., Saya merasa kesal karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan.
1361,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang akurat tentang persyaratan pendaftaran mata kuliah prasyarat., Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang akurat tentang persyaratan pendaftaran mata kuliah prasyarat.
1362,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan penjelasan yang memadai tentang proses pengunduran diri dari suatu mata kuliah., Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan penjelasan yang memadai tentang proses pengunduran diri dari suatu mata kuliah.
1363,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus pendaftaran mata kuliah ulang., Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus pendaftaran mata kuliah ulang.
1364,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang proses pengajuan cuti kuliah akademik., Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang proses pengajuan cuti kuliah akademik.
1365,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan respon yang cepat terhadap pertanyaan mengenai pendaftaran mata kuliah., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan respon yang cepat terhadap pertanyaan mengenai pendaftaran mata kuliah.
1366,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pembuatan surat keterangan aktif kuliah., Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pembuatan surat keterangan aktif kuliah.
1367,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus perpanjangan masa studi., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus perpanjangan masa studi.
1368,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak menginformasikan dengan jelas tentang tata cara pembayaran uang kuliah., Saya merasa kesal karena tata usaha kampus terkadang tidak menginformasikan dengan jelas tentang tata cara pembayaran uang kuliah.
1369,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan bantuan yang memadai dalam mengurus pengurusan beasiswa., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan bantuan yang memadai dalam mengurus pengurusan beasiswa.
1370,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan penjelasan yang memadai tentang prosedur pengajuan cuti kuliah akademik., Saya merasa kesal karena tata usaha kampus tidak memberikan penjelasan yang memadai tentang prosedur pengajuan cuti kuliah akademik.
1371,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan kegiatan kampus., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan kegiatan kampus.
1372,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi., Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.
1373,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus penggantian KTM yang hilang., Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus penggantian KTM yang hilang.
1374,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester., Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester.
1375,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi.
1376,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi., Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi.
1377,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah ulang., Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah ulang.
1378,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang proses pendaftaran mata kuliah prasyarat., Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang proses pendaftaran mata kuliah prasyarat.
1379,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.
1380,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang., Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang.
1381,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat.
1382,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang., Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang.
1383,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon pertanyaan mahasiswa., Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon pertanyaan mahasiswa.
1384,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah prasyarat., Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah prasyarat.
1385,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan., Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan.
1386,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengajukan cuti kuliah., Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengajukan cuti kuliah.
1387,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus dispensasi kuliah., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus dispensasi kuliah.
1388,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pengajuan dispensasi kuliah., Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pengajuan dispensasi kuliah.
1389,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan dukungan yang memadai dalam mengurus penggantian KTM yang hilang., Saya merasa kecewa  karena tata usaha kampus tidak memberikan dukungan yang memadai dalam mengurus penggantian KTM yang hilang.
1390,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan pelayanan yang baik dalam mengurus proses pendaftaran mata kuliah., Saya merasa kesal karena tata usaha kampus tidak selalu memberikan pelayanan yang baik dalam mengurus proses pendaftaran mata kuliah.
1391,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi., Saya merasa kecewa  karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi.
1392,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester., Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester.
1393,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi.
1394,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi., Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.
1395,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pendaftaran mata kuliah ulang., Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pendaftaran mata kuliah ulang.
1396,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang proses pendaftaran mata kuliah prasyarat., Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang proses pendaftaran mata kuliah prasyarat.
1397,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.
1398,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang., Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang.
1399,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat., Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat.
1400,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang., Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang.
1401,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang prosedur pengambilan KTM baru., Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang prosedur pengambilan KTM baru.
1402,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal perwalian., Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal perwalian.
1403,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak responsif dalam merespon permohonan dispensasi kuliah., Saya merasa kecewa  karena tata usaha kampus tidak responsif dalam merespon permohonan dispensasi kuliah.
1404,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang persyaratan pembuatan surat keterangan aktif kuliah., Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang persyaratan pembuatan surat keterangan aktif kuliah.
1405,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan bantuan yang memadai dalam mengurus pengurusan surat-surat penting mahasiswa., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan bantuan yang memadai dalam mengurus pengurusan surat-surat penting mahasiswa.
1406,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang prosedur pembuatan KTM baru., Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang prosedur pembuatan KTM baru.
1407,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang baik dalam mengurus proses perpanjangan masa studi., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang baik dalam mengurus proses perpanjangan masa studi.
1408,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif dalam mengatasi keluhan mahasiswa tentang biaya kuliah yang tidak sesuai., Saya merasa kesal karena tata usaha kampus tidak responsif dalam mengatasi keluhan mahasiswa tentang biaya kuliah yang tidak sesuai.
